Date,Close,daily_return,volume,ewma_short,ewma_long,crossover_long,crossover_short,crossover_signal,short_vol,long_vol,vol_trend_long,vol_trend_short,vol_trend_signal,bollinger_mid_band,bollinger_std,bollinger_upper_band,bollinger_lower_band,bollinger_long,bollinger_short,bollinger_signal,Short_Volume,Long_Volume,SMA_Volume_Ratio,crossover_vol_long,crossover_vol_short,crossover_vol_signal,ATR1,ATR2,ATR3,TrueRange,crossover_atr_entry,crossover_atr_exit,crossover_atr_signal
2017-06-05,140.28904724121094,-0.006179233107069471,2633700.0,140.69499937252303,140.72215857513348,0.0,-1.0,-1.0,0.010633383913529311,0.01063338391352931,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.9000091552734375,0.0800018310546875,0.980010986328125,0.980010986328125,0.0,-1.0,-1.0
2017-06-06,138.856689453125,-0.010210047158016322,3661900.0,139.99559907876355,140.09169559665335,0.0,-1.0,-1.0,0.009793283459155647,0.010025591977262945,1.0,0.0,1.0,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.3799896240234375,0.1999969482421875,1.579986572265625,1.579986572265625,0.0,-1.0,-1.0
2017-06-07,139.5085906982422,0.004694777382959758,2922900.0,139.8474895082051,139.94287417970554,0.0,-1.0,-1.0,0.008828971306950458,0.008945615546901844,1.0,0.0,1.0,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.279998779296875,0.779998779296875,0.5,1.279998779296875,0.0,-1.0,-1.0
2017-06-08,139.04031372070312,-0.003356617504308046,3709900.0,139.6385126061788,139.7573228636642,0.0,-1.0,-1.0,0.007461862868579773,0.007810334719936911,1.0,0.0,1.0,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.1399993896484375,0.209991455078125,0.9300079345703125,1.1399993896484375,0.0,-1.0,-1.0
2017-06-09,139.08621215820312,0.0003301088459293222,4143100.0,139.51191113194122,139.64155908184233,0.0,-1.0,-1.0,0.006482578590972848,0.0069930021527352055,1.0,0.0,1.0,,,,,0.0,0.0,0.0,3414300.0,,,0.0,0.0,0.0,1.100006103515625,0.57000732421875,0.529998779296875,1.100006103515625,0.0,-1.0,-1.0
2017-06-12,136.32252502441406,-0.019870317056629005,5902600.0,138.84714924610338,139.14746624757024,0.0,-1.0,-1.0,0.010045892846153655,0.009649862339133626,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0,4068080.0,,,0.0,0.0,0.0,3.44000244140625,0.0,3.44000244140625,3.44000244140625,0.0,-1.0,-1.0
2017-06-13,137.56207275390625,0.009092757996304712,4267700.0,138.59890762106016,138.939544404569,0.0,-1.0,-1.0,0.010766345350110543,0.01004657844719702,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0,4189240.0,,,0.0,0.0,0.0,1.6300048828125,1.779998779296875,0.149993896484375,1.779998779296875,0.0,-1.0,-1.0
2017-06-14,138.35169982910156,0.005740151041544239,2675500.0,138.5540145674277,138.87054835414565,0.0,-1.0,-1.0,0.010222758610133038,0.009741179951786572,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0,4139760.0,,,0.0,0.0,0.0,1.1699981689453125,1.2599945068359375,0.089996337890625,1.2599945068359375,0.0,-1.0,-1.0
2017-06-15,138.8016357421875,0.00325211698621497,2517500.0,138.59675379621254,138.86321931265178,0.0,-1.0,-1.0,0.009393120422694242,0.009265040031020666,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0,3901280.0,,,0.0,0.0,0.0,1.8700103759765625,0.8400115966796875,1.029998779296875,1.8700103759765625,0.0,-1.0,-1.0
2017-06-16,139.5545196533203,0.005424171747739681,5443900.0,138.75522544204605,138.9305107570775,0.0,-1.0,-1.0,0.008819485269624417,0.008964495808456176,1.0,0.0,1.0,,,,,0.0,0.0,0.0,4161440.0,,,0.0,0.0,0.0,1.970001220703125,1.720001220703125,0.25,1.970001220703125,0.0,-1.0,-1.0
2017-06-19,140.61041259765625,0.007566168024933706,3263800.0,139.0515146894083,139.0814210190599,0.0,-1.0,-1.0,0.008472374903560842,0.008821234323589269,1.0,0.0,1.0,,,,,0.0,0.0,0.0,3633680.0,,,0.0,0.0,0.0,1.339996337890625,1.1899871826171875,0.1500091552734375,1.339996337890625,0.0,-1.0,-1.0
2017-06-20,141.4643096923828,0.006072787064283158,3614400.0,139.4255409735147,139.28035085131566,1.0,0.0,1.0,0.007929688430453542,0.00856366609589987,1.0,0.0,1.0,,,,,0.0,0.0,0.0,3503020.0,,,0.0,0.0,0.0,1.44000244140625,2.1399993896484375,0.6999969482421875,2.1399993896484375,0.0,-1.0,-1.0
2017-06-21,141.15213012695312,-0.002206772620659825,2448500.0,139.68652027924372,139.42642809756333,1.0,0.0,1.0,0.007502744458661009,0.00824771258133278,1.0,0.0,1.0,,,,,0.0,0.0,0.0,3457620.0,,,0.0,0.0,0.0,0.80999755859375,0.3499908447265625,0.4600067138671875,0.80999755859375,0.0,0.0,0.0
2017-06-22,142.13462829589844,0.0069605621116850536,2003800.0,140.0486987978108,139.62501701000755,1.0,0.0,1.0,0.0071735216576768405,0.008093348753988221,1.0,0.0,1.0,,,,,0.0,0.0,0.0,3354880.0,,,0.0,0.0,0.0,1.230010986328125,1.1800079345703125,0.0500030517578125,1.230010986328125,0.0,-1.0,-1.0
